sport_id,sport_name,total_us_athletes
SPT_ATHLETICS,Athletics,2181
SPT_SWIMMING,Swimming,728
SPT_ROWING,Rowing,718
SPT_ICE_HOCKEY,Ice Hockey,454
SPT_WRESTLING,Wrestling,353
SPT_FOOTBALL,Football,308
SPT_BASKETBALL,Basketball,304
SPT_SHOOTING,Shooting,290
SPT_BOXING,Boxing,283
SPT_ARTISTIC_GYMNASTICS,Artistic Gymnastics,277
SPT_FENCING,Fencing,246
SPT_SAILING,Sailing,239
SPT_WATER_POLO,Water Polo,235
SPT_BASEBALL,Baseball,228
SPT_FIGURE_SKATING,Figure Skating,217
SPT_ALPINE_SKIING,Alpine Skiing,196
SPT_SPEED_SKATING,Speed Skating,185
SPT_VOLLEYBALL,Volleyball,184
SPT_BOBSLEIGH,Bobsleigh,178
SPT_DIVING,Diving,163
SPT_AMERICAN_FOOTBALL,American Football,159
SPT_CYCLING_TRACK,Cycling Track,150
SPT_HOCKEY,Hockey,148
SPT_TENNIS,Tennis,140
SPT_CROSS_COUNTRY_SKIING,Cross Country Skiing,136
SPT_CANOE_SPRINT,Canoe Sprint,128
SPT_CYCLING_ROAD,Cycling Road,121
SPT_GOLF,Golf,111
SPT_FREESTYLE_SKIING,Freestyle Skiing,111
SPT_PAINTING,Painting,104
SPT_HANDBALL,Handball,101
SPT_WEIGHTLIFTING,Weightlifting,101
SPT_LUGE,Luge,87
SPT_SNOWBOARDING,Snowboarding,82
SPT_SKI_JUMPING,Ski Jumping,73
SPT_JUDO,Judo,72
SPT_BIATHLON,Biathlon,71
SPT_ARCHERY,Archery,68
SPT_CURLING,Curling,63
SPT_EQUESTRIAN_EVENTING,Equestrian Eventing,54
SPT_SHORT_TRACK_SPEED_SKATING,Short Track Speed Skating,51
SPT_NORDIC_COMBINED,Nordic Combined,51
SPT_LACROSSE,Lacrosse,51
SPT_MODERN_PENTATHLON,Modern Pentathlon,50
SPT_EQUESTRIAN_JUMPING,Equestrian Jumping,46
SPT_SCULPTURE,Sculpture,46
SPT_RUGBY_SEVENS,Rugby Sevens,46
SPT_ARTISTIC_SWIMMING,Artistic Swimming,45
SPT_BEACH_VOLLEYBALL,Beach Volleyball,45
SPT_SOFTBALL,Softball,44
SPT_CANOE_SLALOM,Canoe Slalom,41
SPT_RUGBY,Rugby,36
SPT_EQUESTRIAN_DRESSAGE,Equestrian Dressage,36
SPT_ARCHITECTURE,Architecture,28
SPT_TRIATHLON,Triathlon,27
SPT_TAEKWONDO,Taekwondo,24
SPT_CYCLING_MOUNTAIN_BIKE,Cycling Mountain Bike,23
SPT_SKELETON,Skeleton,21
SPT_TUG-OF-WAR,Tug-Of-War,20
SPT_SKATEBOARDING,Skateboarding,20
SPT_RHYTHMIC_GYMNASTICS,Rhythmic Gymnastics,19
SPT_BADMINTON,Badminton,17
SPT_TABLE_TENNIS,Table Tennis,15
SPT_CYCLING_BMX_RACING,Cycling BMX Racing,14
SPT_3X3_BASKETBALL,3x3 Basketball,12
SPT_FIREFIGHTING,Firefighting,12
SPT_MUSIC,Music,11
SPT_SPORT_CLIMBING,Sport Climbing,10
SPT_ROLLER_HOCKEY,Roller Hockey,10
SPT_POLO,Polo,9
SPT_MARATHON_SWIMMING,Marathon Swimming,9
SPT_TRAMPOLINING,Trampolining,8
SPT_LITERATURE,Literature,7
SPT_SPEED_SKIING,Speed Skiing,7
SPT_SURFING,Surfing,6
SPT_DOGSLED_RACING,Dogsled Racing,6
SPT_CYCLING_BMX_FREESTYLE,Cycling BMX Freestyle,4
SPT_BASQUE_PELOTA,Basque pelota,4
SPT_BREAKING,Breaking,4
SPT_ROQUE,Roque,3
SPT_MILITARY_SKI_PATROL,Military Ski Patrol,3
SPT_KARATE,Karate,3
SPT_JEU_DE_PAUME,Jeu De Paume,2
SPT_WATERSKIING,Waterskiing,2
SPT_KENDO,Kendo,1
SPT_WUSHU,Wushu,1
